id_cliente,cliente,genero,idade,contato,fonte,produto_interesse,forma_pagamento,entrada_pct,fez_test_drive,data_interesse,etapa,motivo_insucesso,temperatura,data_ultimo_contato
CLI000001,Luana Dias Araújo,Feminino,58,9988-7766,Site,Polo,Financiamento,30,Sim,31/01/2024,Negociação,,Quente,26/02/2024
CLI000002,Fernando Castro Alves,Masculino,52,(31) 94906-4118,Google Ads,Tiguan Allspace,Financiamento,50,Não,20/01/2024,Interesse Futuro,,Morno,19/02/2024
CLI000003,Sofia Rezende Dias,Feminino,56,(31) 92658-3167,Site,Polo,Financiamento,25,Sim,03/01/2024,Negociação,Financeiro,Morno,31/01/2024
CLI000004,Carlos Carvalho,Masculino,47,(48) 96374-9945, Site  ,T-Cross,Financiamento,35,Não,03/01/2024,Primeiro Contato,,Morno,05/01/2024
CLI000005,Gabriel Teixeira Martins,Masculino,63,(21) 95468-2037,Google Ads,Polo,Financiamento,25,Sim,04/01/2024,Negociação,,Frio,17/01/2024
CLI000006,Helena Gonçalves Soares,Feminino,43,(71) 95267-2114,Google Ads,Tiguan Allspace,Financiamento,10,Não,31/01/2024,Negociação,,Quente,05/02/2024
CLI000007,Pedro Moraes,Masculino,54,(24) 96312-5785,Loja Física,Taos,Financiamento,25,Não,02/01/2024,Negociação,,Quente,06/01/2024
CLI000008,Guilherme Santana,Masculino,34,(11) 97786-4298,WhatsApp,Taos,À Vista,,Sim,02/01/2024,Interesse Futuro,,Frio,17/02/2024
CLI000009,Murilo Silva Pereira,Masculino,32,(11) 96554-7870,Instagram,T-Cross,Financiamento,20,Sim,23/01/2024,Negociação,,Quente,14/02/2024
CLI000010,Vitor Rocha,Masculino,45,(71) 91345-6950,Loja Física,Nivus,Financiamento,30,Sim,02/01/2024,PRIMEIRO CONTATO ,,Frio,03/01/2024
CLI000011,Isabela Batista Cardoso,Feminino,30,(11) 92672-7531,OLX,Amarok,Financiamento,40,Não,26/01/2024,Primeiro Contato,,Morno,26/01/2024
CLI000012,Paulo Barros Ferreira,Masculino,39,(24) 92823-5624,Instagram,T-Cross,À Vista,,Sim,20/01/2024,Agendamento,,Frio,03/02/2024
CLI000013,Marcos Freitas,Masculino,33,1198877-66,Site,Virtus,Financiamento,20,Não,03/01/2024,Primeiro Contato,,Morno,07/01/2024
