id_cliente,nome_cliente,data_nascimento,vendedor,valor_padrao,desconto,valor_faturamento,forma_pagamento,banco,custo,produto,cor_produto,ano,modelo,data_entrega,zero_km_ou_seminovo
CLI000028,Sofia Rezende,22/10/1986,Fernanda Ribeiro,90100.00,3950.00,86150.00,Financiamento,BV,74184.06,Polo,Preto,2024,Polo Sense,10/01/2024,Semi Novo
CLI000024,Larissa Ferreira Silva,11/06/1965,Fernanda Ribeiro,109800.00,450.00,109350.00,Financiamento,BV,94169.84,Nivus,Branco,2024,Nivus Sense,17/01/2024,0 KM
CLI000041,Lucas Rodrigues,24/12/1973,Fernanda Ribeiro,123800.00,3100.00,120700.00,Financiamento,Montadora,111078.82,Virtus,Preto,2024,Virtus Comfortline,30/01/2024,0 KM
CLI000397,Carolina Pereira,22/02/1973,Diego Nogueira,109700.00,0.00,109700.00,Financiamento,BV,94866.50,Nivus,Pratta,2024,Nivus Sense,29/01/2024,0 KM
CLI000042,Rodrigo Teixeira,09/06/1959,Fernanda Ribeiro,92700.00,0.00,92700.00,Financiamento,Santander,79466.19,Polo,Preto,2024,Polo Sense,30/01/2024,0 KM
CLI000026,Júlia Araújo,18/03/1976,Rafael Martins,113000.00,0.00,113000.00,À Vista,,97392.28,Virtus,Prata,2024,Virtus Sense,23/01/2024,0 KM
CLI000056,Tatiane Lima,17/08/1986,Bruno Almeida,132000.00,11050.00,120950.00,Financiamento,BV,118792.28,Polo,Branco,2024,Polo Highline,31/01/2024,0 KM
CLI000055,Bruna Almeida,12/03/1960,Bruno Almeida,271600.00,11300.00,260300.00,Financiamento,Santander,225385.43,Amarok,Branco,2024,Amarok Comfortline,23/01/2024,Semi Novo
CLI000019,Mariana Ramos Almeida,27/12/1990,Diego Nogueira,131400.00,6950.00,124450.00,Financiamento,Montadora,116096.10,T-Cross,Prata,2024,T-Cross Sense,28/01/2024,0 KM
CLI000062,Júlia Moreira,10/04/2001,Rafael Martins,97800.00,4350.00,93450.00,Financiamento,BV,82767.10,Polo,Azul,2024,Polo Comfortline,25/01/2024,Semi Novo
CLI000014,Gabriela Santana,27/05/1975,Juliana Costa,116800.00,3050.00,113750.00,Financiamento,Montadora,101808.46,Saveiro,Branco,2024,Saveiro Sense,19/01/2024,0 KM
CLI000051,Gabriel Duarte Martins,27/09/1987,Fernanda Ribeiro,164600.00,5350.00,159250.00,Financiamento,Santander,146683.85,T-Cross,Azul,2024,T-Cross Highline,09/02/2024,0 KM
CLI000128,Rafaela Barbosa,18/01/2004,Bruno Almeida,104700.00,2150.00,102550.00,Financiamento,Montadora,90038.78,Virtus,Preto,2024,Virtus Sense,24/02/2024,0 KM
CLI001395,Rafael Ribeiro,24/12/1970,Rafael Martins,116600.00,0.00,116600.00,Financiamento,Santander,98593.52,Saveiro,Preto,2024,Saveiro Sense,15/02/2024,0 KM
CLI000132,Marcelo Castro Andrade,03/28/1993,Rafael Martins,113100.00,5200.00,107900.00,À Vista,,94671.68,Saveiro,Branco,2024,Saveiro Sense,20/02/2024,0 KM
CLI000082,Eduardo Mendes Alves,08/01/1975,Diego Nogueira,210200.00,0.00,210200.00,Financiamento,BV,186945.94,Taos,Branco,2024,Taos Highline,14/02/2024,0 KM
CLI000102,Renan Mendes,18/11/1978,Rafael Martins,157000.00,0.00,157000.00,Financiamento,Montadora,129101.14,Saveiro,Preto,2024,Saveiro Highline,29/02/2024,0 KM
CLI000135,Rodrigo Soares,05/09/1964,Juliana Costa,268200.00,0.00,268200.00,Financiamento,Montadora,221273.68,Amarok,Prata,2024,Amarok Sense,20/02/2024,Semi Novo
CLI000108,Mariana Oliveira,10/04/1991,Juliana Costa,122300.00,1500.00,120800.00,Financiamento,Santander,100632.46,Polo,Branco,2024,Polo Highline,26/02/2024,0 KM
CLI000084,Rodrigo Lopes,15/09/1960,Camila Andrade,142400.00,4200.00,138200.00,Financiamento,Montadora,118461.02,Nivus,Preto,2024,Nivus Comfortline,26/02/2024,0 KM
CLI000090,Marcelo Andrade Moraes,20/10/1995,Juliana Costa,187400.00,7550.00,179850.00,Financiamento,Montadora,156746.07,Taos,Branco,2024,Taos Sense,20/02/2024,0 KM
CLI000101,Carolina Almeida,25/06/1969,Rafael Martins,93800.00,3050.00,90750.00,À Vista,,82773.07,Polo,Branco,2024,Polo Sense,23/02/2024,0 KM
CLI000076,Vanessa Gomes,26/01/1975,Camila Andrade,145300.00,350.00,144950.00,Financiamento,Montadora,121003.95,Virtus,Cinza,2024,Virtus Highline,28/02/2024,0 KM
CLI000103,Bruno Moreira,25/10/1991,Diego Nogueira,119200.00,4150.00,115050.00,Financiamento,Bradesco,102624.43,Polo,Preto,2024,Polo Highline,25/02/2024,0 KM
CLI000073,Vitória Rocha,11/12/1993,Diego Nogueira,159900.00,0.00,159900.00,Financiamento,BV,135410.02,T-Cross,Branco,2024,T-Cross Highline,28/02/2024,Semi Novo
CLI000121,Bruna Costa,04/04/1994,Camila Andrade,276700.00,9600.00,266.300,00,Financiamento,Bradesco,235580.90,Amarok,Preto,2024,Amarok Comfortline,22/03/2024,0 KM
CLI000193,Gabriel Barbosa Ferreira,17/09/1985,Diego Nogueira,119400.00,2650.00,116750.00,À Vista,,99242.00,Saveiro,Branco,2024,Saveiro Comfortline,18/03/2024,0 KM
CLI000225,Eduardo Silva,28/09/1984,Fernanda Ribeiro,227900.00,16650.00,211250.00,À Vista,,201869.49,Tiguan Allspace,Prata,2024,Tiguan Allspace Sense,08/03/2024,0 KM
CLI000228,Sabrina Soares,17/08/1978,Bruno Almeida,142100.00,7350.00,134750.00,Financiamento,,120759.82,T-Cross,Branco,2024,T-Cross Sense,13/03/2024,0 KM
CLI000202,Renata Nascimento,15/09/1980,Rafael Martins,113300.00,3250.00,110050.00,Financiamento,Santander,93954.30,Nivus,Branco,2024,Nivus Sense,20/03/2024,0 KM
CLI000154,Helena Costa,08/07/1986,Diego Nogueira,125200.00,0.00,125200.00,Financiamento,Montadora,106052.67,Nivus,Branco,2024,Nivus Comfortline,30/03/2024,0 KM
CLI000165,Carlos Souza,27/05/1988,Fernanda Ribeiro,112700.00,1500.00,111200.00,Financiamento,Montadora,96990.11,Saveiro,Branco,2024,Saveiro Sense,24/03/2024,0 KM
CLI000224,Rafael Rezende Moraes,03/05/1974,Diego Nogueira,84500.00,2850.00,81650.00,Financiamento,Santander,69737.60,Polo,Branco,2024,Polo Sense,16/03/2024,Semi Novo
CLI000206,Sabrina Nunes,01/07/1967,Fernanda Ribeiro,103000.00,600.00,102400.00,Financiamento,Montadora,90323.46,Polo,Branco,2024,Polo Comfortline,27/03/2024,0 KM
CLI000221,Ricardo Ferreira,27/10/1979,Rafael Martins,106600.00,6300.00,100300.00,Financiamento,BV,94163.98,Nivus,Cinza,2024,Nivus Sense,23/03/2024,Semi Novo
CLI000214,Luana Teixeira,24/11/1994,Diego Nogueira,107100.00,110900.00,106050.00,Financiamento,Bradesco,93799.38,Saveiro,Prata,2024,Saveiro Sense,25/03/2024,0 KM
CLI000190,Tatiane Alves,12/07/1976,Camila Andrade,111700.00,2050.00,109650.00,À Vista,,92084.08,Saveiro,Prata,2024,Saveiro Sense,30/03/2024,0 KM
CLI000175,Beatriz Moreira Monteiro,06/11/1986,Juliana Costa,135200.00,2050.00,133150.00,Financiamento,Bradesco,118914.71,T-Cross,Prata,2024,T-Cross Sense,29/03/2024,Semi Novo
CLI000191,Marcos Teixeira,16/09/1986,Rafael Martins,103100.00,3100.00,100000.00,Financiamento,Montadora,84865.07,Polo,Branco,2024,Polo Comfortline,30/03/2024,Semi Novo
CLI000142,Lucas Alves Castro,06/10/1995,Camila Andrade,150400.00,0.00,150400.00,Financiamento,Montadora,125744.09,Nivus,Vermelho,2024,Nivus Highline,24/03/2024,0 KM
CLI000209,Felipe Ribeiro Moraes,28/08/1977,Fernanda Ribeiro,175300.00,2900.00,172400.00,Financiamento,Montadora,145708.83,T-Cross,Azul,2024,T-Cross Highline,26/03/2024,0 KM
CLI000163,Bianca Nascimento,26/04/1984,Fernanda Ribeiro,249600.00,9300.00,240300.00,Financiamento,Bradesco,211748.21,Tiguan Allspace,Branco,2024,Tiguan Allspace Comfortline,31/03/2024,0 KM
CLI000194,Gabriela Lopes,15/10/1995,Rafael Martins,87000.00,0.00,87000.00,À Vista,,74905.45,Polo,Branco,2024,Polo Sense,31/03/2024,Semi Novo
CLI000185,Valentina Oliveira,21/01/1990,Diego Nogueira,127400.00,8450.00,118950.00,Financiamento,Montadora,107730.61,Polo,Branco,2024,Polo Highline,29/03/2024,0 KM
CLI000192,Lucas Carvalho Costa,22/04/1958,Camila Andrade,83800.00,1800.00,82000.00,À Vista,,75285.68,Polo,Preto,2024,Polo Sense,30/03/2024,Semi Novo
CLI000217,Natália Gonçalves Lopes,02/02/1984,Diego Nogueira,119700.00,4950.00,114750.00,À Vista,,99885.57,Nivus,Azul,2024,Nivus Sense,31/03/2024,0 KM
CLI000263,Mateus Teixeira,14/01/2001,Fernanda Ribeiro,96500.00,5400.00,91100.00,Financiamento,Montadora,83655.76,Polo,Preto,2024,Polo Comfortline,23/04/2024,Semi Novo
CLI000279,Bruno Santana,13/11/1961,Bruno Almeida,274500.00,7200.00,267300.00,Financiamento,Bradesco,244620.26,Amarok,Cinza,2024,Amarok Sense,20/04/2024,0 KM
CLI000307,Sabrina Gonçalves,02/10/1955,Diego Nogueira,128400.00,0.00,128400.00,À Vista,,112998.28,Polo,Preto,2024,Polo Highline,23/04/2024,Semi Novo
CLI000255,Marina Barros,23/12/1978,Camila Andrade,96100.00,5350.00,90750.00,Financiamento,Montadora,84071.91,Polo,Azul,2024,Polo Comfortline,15/04/2024,Semi Novo
CLI000283,Ricardo Santana,14/02/1979,Camila Andrade,182800.00,6850.00,175950.00,Financiamento,BV,158245.32,T-Cross,Preto,2024,T-Cross Highline,25/04/2024,0 KM
CLI000266,Leonardo Santos,22/03/1990,Juliana Costa,131700.00,400.00,131300.00,À Vista,,113523.39,Virtus,Preto,2024,Virtus Comfortline,23/04/2024,0 KM
CLI000246,Camila Nascimento,13/05/1995,Fernanda Ribeiro,85600.00,4000.00,81600.00,Financiamento,Montadora,73107.66,Polo,Prata,2024,Polo Sense,30/04/2024,Semi Novo
CLI000251,Carlos Gomes,13/03/1950,Rafael Martins,80600.00,3950.00,76650.00,Financiamento,Bradesco,70357.93,Polo,Cinza,2024,Polo Sense,24/04/2024,Semi Novo
CLI000315,André Nunes Castro,22/06/1958,Fernanda Ribeiro,168800.00,5850.00,162950.00,À Vista,,141567.41,T-Cross,Branco,2024,T-Cross Highline,23/04/2024,Semi Novo
CLI000328,Rafael Moraes Pereira,20/04/1988,Rafael Martins,106100.00,1400.00,104700.00,Financiamento,Montadora,89181.49,Polo,PRETO ,2024,Polo Comfortline,26/04/2024,0 KM
CLI000329,Carolina Nascimento Santos,07/11/1974,Fernanda Ribeiro,133900.00,3500.00,131300.00,financiamento,Montadora,110016.87,Polo,Branco,2024,Polo Highline,30/04/2024,0 KM
CLI000309,Felipe Gomes,15/11/1986,Rafael Martins,106900.00,300.00,106600.00,Financiamento,Montadora,94897.37,Polo,Branco,2024,Polo Comfortline,29/04/2024,0 KM
CLI000304,Guilherme Santos Moraes,26/03/1981,Fernanda Ribeiro,154800.00,0.00,154800.00,À Vista,,135067.24,Nivus,Branco,2024,Nivus Highline,07/05/2024,0 KM
CLI000276,Laura Alves,05/03/1994,Fernanda Ribeiro,120600.00,0.00,120600.00,Financiamento,Montadora,99012.95,Virtus,Cinza,2024,Virtus Comfortline,22/05/2024,Semi Novo
CLI000359,Rafaela Almeida Dias,28/08/1996,Camila Andrade,102500.00,2700.00,99800.00,À Vista,,85393.05,Polo,Prata,2024,Polo Comfortline,29/05/2024,Semi Novo
CLI000336,Mateus Monteiro Moreira,07/02/1992,Diego Nogueira,114100.00,3800.00,110300.00,Financiamento,BV,96625.92,Nivus,Branco,2024,Nivus Sense,21/05/2024,Semi Novo
CLI000417,Patrícia Almeida,05/02/1994,  Juliana Costa ,123000.00,0.00,123600.00,Financiamento,Bradesco,105880.31,Saveiro,Preto,2024,Saveiro Comfortline,11/05/2024,0 KM
CLI000371,Vitor Ribeiro,16/04/1974,Diego Nogueira,109100.00,0.00,109100.00,Financiamento,BV,97050.04,Polo,Pratta,2024,Polo Comfortline,22/05/2024,0 KM
CLI000394,Júlia Pereira,16/10/1971,Camila Andrade,123100.00,4600.00,118500.00,Financiamento,Montadora,104209.37,Saveiro,Cinza,2024,Saveiro Comfortline,27/05/2024,0 KM
CLI000343,Beatriz Soares,18/12/1989,Rafael Martins,258800.00,2300.00,256500.00,À Vista,,231497.29,Tiguan Allspace,Prata,2024,Tiguan Allspace Comfortline,30/05/2024,0 KM
CLI000351,Beatriz Gomes Moreira,08/06/1986,Bruno Almeida,167800.00,700.00,167100.00,À Vista,,147816.99,T-Cross,Branco,2024,T-Cross Highline,30/05/2024,Semi Novo
CLI000385,Renan Freitas,11/10/1999,Rafael Martins,167200.00,6650.00,160550.00,À Vista,,149876.08,Taos,Branco,2024,Taos Sense,30/05/2024,0 KM
CLI000388,Vitor Lopes,04/03/1974,Juliana Costa,99700.00,6750.00,92950.00,Financiamento,Montadora,87458.36,Polo,Cinza,2024,Polo Comfortline,31/05/2024,0 KM
CLI000411,ClÃ¡ra Batista Melo,,Diego Nogueira,117800.00,3100.00,114700.00,Financiamento,Santander,103075.17,Polo,Branco,2024,Polo Comfortline,30/05/2024,0 KM
CLI000399,Mariana Mendes Santana,05/04/1984,Diego Nogueira,272400.00,0.00,272400.00,Financiamento,Bradesco,234133.95,Tiguan Allspace,Prata,2024,Tiguan Allspace Highline,28/05/2024,Semi Novo
CLI000389,Rodrigo Rodrigues,28/02/1971,Fernanda Ribeiro,120800.00,4050.00,116750.00,Financiamento,Santander,99670.84,Polo,Vermelho,2024,Polo Highline,30/05/2024,0 KM
CLI000345,Luana Pereira Souza,10/12/1995,Fernanda Ribeiro,133900.00,6900.00,127000.00,Financiamento,Montadora,112875.82,T-Cross,Azul,2024,T-Cross Sense,31/05/2024,0 KM
CLI000356,André Santana Duarte,21/06/1955,Juliana Costa,97800.00,0.00,97800.00,Financiamento,Santander,80439.40,Polo,Vermelho,2024,Polo Sense,31/05/2024,0 KM
CLI000387,Renan Araújo Silva,01/07/1987,Camila Andrade,271700.00,11200.00,260500.00,À Vista,,241405.42,Amarok,Branco,2024,Amarok Sense,31/05/2024,Semi Novo
CLI000413,Fernando Oliveira,19/02/1961,Fernanda Ribeiro,92000.00,2400.00,89600.00,Financiamento,Montadora,80380.04,Polo,Prata,2024,Polo Sense,31/05/2024,0 KM
CLI000365,Júlia Silva Santana,17/07/1993,Juliana Costa,92600.00,3300.00,89300.00,Financiamento,Santander,76096.15,Polo,Vermelho,2024,Polo Sense,13/06/2024,0 KM
CLI000390,Mariana Duarte,26/07/1980,Camila Andrade,97900.00,5400.00,92500.00,À Vista,,85660.82,Polo,Prata,2024,Polo Comfortline,23/06/2024,0 KM
CLI002015,Felipe Oliveira Martins,23/12/1969,Juliana Costa,140100.00,5800.00,134300.00,Financiamento,Montadora,119508.32,Nivus,Branco,2024,Nivus Comfortline,21/10/2025,Semi Novo
CLI000487,Henrique Freitas,11/12/1969,Juliana Costa,138200.00,0.00,138200.00,Financiamento,Santander,120313.99,Saveiro,Branco,2024,Saveiro Comfortline,12/06/2024,0 KM
CLI000461,Gabriela Rezende Ferreira,25/01/1972,Diego Nogueira,289800.00,15300.00,276500.00,Financiamento,Santander,254935.88,Amarok,Preto,2024,amarok highline,10/06/2024,0 KM
CLI000466,Júlia Oliveira,28/01/1960,Juliana Costa,105400.00,2650.00,102750.00,Financiamento,Montadora,93264.20,Saveiro,Prata,2024,Saveiro Sense,20/06/2024,0 KM
CLI000471,Guilherme Cardoso Melo,01/01/1991,Diego Nogueira,104000.00,500.00,103500.00,Financiamento,Montadora,86129.65,Polo,Azul,2024,Polo Comfortline,26/06/2024,0 KM
CLI000444,Eduardo Mendes Castro,23/05/1976,Fernanda Ribeiro,128000.00,7350.00,120650.00,Financiamento,Montadora,111352.55,T-Cross,Cinza,2024,T-Cross Sense,22/06/2024,0 KM
